# type spatial_prob
signal 0.88750478
signal 0.88202736
signal 0.85080247
signal 0.73442849
signal 0.68872741
signal 0.67357814
signal 0.60887850
signal 0.59060875
signal 0.57160737
signal 0.54387352
signal 0.53571503
signal 0.51320204
signal 0.49635743
signal 0.47383506
signal 0.45020969
signal 0.44535605
signal 0.44470999
signal 0.44233413
signal 0.44231922
signal 0.42933899
signal 0.42901649
signal 0.42805507
signal 0.42401384
signal 0.42274893
signal 0.42110803
signal 0.41629572
signal 0.40158627
signal 0.38612801
signal 0.35787779
signal 0.35542052
signal 0.35402531
signal 0.35122039
signal 0.33671939
signal 0.33173643
signal 0.31459957
signal 0.29696251
signal 0.28760788
signal 0.28170271
signal 0.27028107
signal 0.26900780
signal 0.26808593
signal 0.26747697
signal 0.26447294
signal 0.26052430
signal 0.25672180
signal 0.25642082
signal 0.25518311
signal 0.25480074
signal 0.25290983
signal 0.24133305
signal 0.24117098
signal 0.23958113
signal 0.22797461
signal 0.22623162
signal 0.22263220
signal 0.22033693
signal 0.21702316
signal 0.21434342
signal 0.21348316
signal 0.21053083
signal 0.20995657
signal 0.20990654
signal 0.20519382
signal 0.20286939
signal 0.19709763
signal 0.19353382
signal 0.19276597
signal 0.19199045
signal 0.18755972
signal 0.18604677
signal 0.18181178
signal 0.17702042
signal 0.17627126
signal 0.17331577
signal 0.16881573
signal 0.16468957
signal 0.16016352
signal 0.15984765
signal 0.14952448
signal 0.14922946
signal 0.14895359
signal 0.14843719
signal 0.14485109
signal 0.13999451
signal 0.13643801
signal 0.13488027
signal 0.13432211
signal 0.13050561
signal 0.12369772
signal 0.11184600
signal 0.10723407
signal 0.10683838
signal 0.10618915
signal 0.10576538
signal 0.09954035
signal 0.08999158
signal 0.08164958
signal 0.08140574
signal 0.07951318
signal 0.07885577
signal 0.07608610
signal 0.07342653
signal 0.06828187
signal 0.06802914
signal 0.06481523
signal 0.06439760
signal 0.06428403
signal 0.06267560
signal 0.05896561
signal 0.05885945
signal 0.05695843
signal 0.05677719
signal 0.05538788
signal 0.05513825
signal 0.05452467
signal 0.05426871
signal 0.05228381
signal 0.04998922
signal 0.04919121
signal 0.04912895
signal 0.04673022
signal 0.04521263
signal 0.04296872
signal 0.04283314
signal 0.04222094
signal 0.04198396
signal 0.04028742
signal 0.04025362
signal 0.03808404
signal 0.03748412
signal 0.03677867
signal 0.03629475
signal 0.03319391
signal 0.03218785
signal 0.03105243
signal 0.02931547
signal 0.02823349
signal 0.02682384
signal 0.02598277
signal 0.02508678
signal 0.02396219
signal 0.02167778
signal 0.01945491
signal 0.01875942
signal 0.01614999
signal 0.01498339
signal 0.01338349
signal 0.01284584
signal 0.01045491
signal 0.01043333
signal 0.01022364
signal 0.00968088
signal 0.00863299
signal 0.00838584
signal 0.00837665
signal 0.00827425
signal 0.00809072
signal 0.00751649
signal 0.00729354
signal 0.00627643
signal 0.00579596
signal 0.00514859
signal 0.00441536
signal 0.00387890
signal 0.00357577
signal 0.00344627
signal 0.00327494
signal 0.00296448
signal 0.00290471
signal 0.00220913
signal 0.00208242
signal 0.00144182
signal 0.00129711
signal 0.00110325
signal 0.00078663
signal 0.00014531
signal 0.00011594
signal 0.00005285
background 0.97511534
background 0.96752541
background 0.95690488
background 0.94759370
background 0.94678265
background 0.91989529
background 0.90928808
background 0.90783399
background 0.90121322
background 0.89747273
background 0.89499471
background 0.88824083
background 0.86238705
background 0.85877592
background 0.85626891
background 0.85260625
background 0.85135164
background 0.85117475
background 0.83231005
background 0.83064535
background 0.82715304
background 0.82701688
background 0.82217850
background 0.82047065
background 0.81936470
background 0.81649511
background 0.81329433
background 0.80797515
background 0.80023353
background 0.79573197
background 0.79169554
background 0.79122003
background 0.77838679
background 0.77686318
background 0.77542350
background 0.77491338
background 0.77411815
background 0.76713179
background 0.76691965
background 0.75976091
background 0.75793169
background 0.75792659
background 0.75227253
background 0.74440586
background 0.74344553
background 0.73918765
background 0.73877417
background 0.73611842
background 0.73600088
background 0.73478211
background 0.73451894
background 0.73434631
background 0.73370056
background 0.73234559
background 0.72880010
background 0.72501940
background 0.72365535
background 0.71833219
background 0.71799536
background 0.71740159
background 0.71566356
background 0.71513763
background 0.71439296
background 0.71307888
background 0.70332078
background 0.69770850
background 0.69691301
background 0.69595858
background 0.69354457
background 0.69098825
background 0.68925940
background 0.68749913
background 0.68630745
background 0.68333619
background 0.68144384
background 0.68071144
background 0.67980053
background 0.67958112
background 0.67928877
background 0.67919055
background 0.67748965
background 0.67743298
background 0.67695130
background 0.67666277
background 0.67194896
background 0.67100940
background 0.67098715
background 0.67020118
background 0.66947824
background 0.66935682
background 0.66860133
background 0.66792499
background 0.66603251
background 0.66446425
background 0.66429696
background 0.66352069
background 0.66297236
background 0.66008400
background 0.65811524
background 0.65810597
background 0.65796172
background 0.65770082
background 0.65732923
background 0.65580239
background 0.65166485
background 0.65088405
background 0.65055433
background 0.64936324
background 0.64836744
background 0.64747734
background 0.64604526
background 0.64170185
background 0.64158521
background 0.63926083
background 0.63919522
background 0.63817268
background 0.63785608
background 0.63492040
background 0.63490350
background 0.63471989
background 0.63158972
background 0.63103739
background 0.62993472
background 0.62972373
background 0.62808933
background 0.62695907
background 0.62621087
background 0.62610993
background 0.62486603
background 0.62481953
background 0.62469211
background 0.62425335
background 0.62230681
background 0.62075171
background 0.61654684
background 0.61600114
background 0.61563971
background 0.61509580
background 0.61493159
background 0.61380042
background 0.61259798
background 0.61093138
background 0.60985800
background 0.60932886
background 0.60876484
background 0.60832114
background 0.60669690
background 0.60587715
background 0.60423140
background 0.60408789
background 0.60261271
background 0.60253024
background 0.60230466
background 0.60168452
background 0.60133373
background 0.60093295
background 0.60027867
background 0.60024462
background 0.60017285
background 0.59967193
background 0.59898527
background 0.59832909
background 0.59802019
background 0.59800270
background 0.59728896
background 0.59648796
background 0.59633700
background 0.59620062
background 0.59619506
background 0.59583855
background 0.59251791
background 0.59122940
background 0.58995327
background 0.58869878
background 0.58865175
background 0.58828082
background 0.58625789
background 0.58524241
background 0.58513870
background 0.58508296
background 0.58465235
background 0.58368674
background 0.58241957
background 0.58201786
background 0.58191214
background 0.58163413
background 0.57910728
background 0.57890266
background 0.57730013
background 0.57493735
background 0.57454258
background 0.57429094
background 0.57371712
background 0.57289108
background 0.57251970
background 0.57106972
background 0.57061183
background 0.57033457
background 0.56924813
background 0.56809617
background 0.56785192
background 0.56768570
background 0.56726760
background 0.56663942
background 0.56645527
background 0.56604988
background 0.56585037
background 0.56550947
background 0.56550493
background 0.56513198
background 0.56484877
background 0.56442556
background 0.56380720
background 0.56216472
background 0.56206489
background 0.56196631
background 0.56147427
background 0.56122030
background 0.56017779
background 0.55995272
background 0.55952277
background 0.55852032
background 0.55657372
background 0.55583474
background 0.55491457
background 0.55346845
background 0.55342567
background 0.55306952
background 0.55190733
background 0.55187340
background 0.55174419
background 0.55163447
background 0.54955250
background 0.54936035
background 0.54923394
background 0.54862403
background 0.54688204
background 0.54590971
background 0.54514129
background 0.54430973
background 0.54358159
background 0.54332167
background 0.54276155
background 0.54197528
background 0.54187263
background 0.54151574
background 0.54139305
background 0.54081474
background 0.54080955
background 0.54071553
background 0.53872248
background 0.53841718
background 0.53754998
background 0.53754873
background 0.53754787
background 0.53719802
background 0.53717069
background 0.53689879
background 0.53665954
background 0.53580724
background 0.53570685
background 0.53551832
background 0.53437393
background 0.53405146
background 0.53372194
background 0.53316955
background 0.53288237
background 0.53259809
background 0.53250498
background 0.53197308
background 0.53132053
background 0.53067258
background 0.52950080
background 0.52830932
background 0.52795088
background 0.52787807
background 0.52715228
background 0.52670670
background 0.52629623
background 0.52425354
background 0.52392990
background 0.52353986
background 0.52241904
background 0.52228384
background 0.52163259
background 0.51993493
background 0.51927645
background 0.51705398
background 0.51698233
background 0.51560060
background 0.51530657
background 0.51447819
background 0.51433641
background 0.51346742
background 0.51298977
background 0.51224566
background 0.51212086
background 0.51190277
background 0.51183502
background 0.51143287
background 0.51116084
background 0.51108556
background 0.51044826
background 0.50998610
background 0.50975509
background 0.50941994
background 0.50881748
background 0.50842482
background 0.50834575
background 0.50776735
background 0.50769059
background 0.50730545
background 0.50726001
background 0.50722031
background 0.50718833
background 0.50713744
background 0.50586159
background 0.50578502
background 0.50568120
background 0.50556605
background 0.50514872
background 0.50404942
background 0.50375030
background 0.50356052
background 0.50342532
background 0.50232439
background 0.50225369
background 0.50217340
background 0.50201293
background 0.50159246
background 0.50139824
background 0.50123676
background 0.50106305
background 0.50023301
background 0.49994103
background 0.49984039
background 0.49964564
background 0.49900445
background 0.49870539
background 0.49857265
background 0.49836663
background 0.49825013
background 0.49807835
background 0.49756031
background 0.49747815
background 0.49682602
background 0.49639434
background 0.49592942
background 0.49586216
background 0.49557982
