# type spatial_prob
signal 0.00021084
signal 0.00018344
signal 0.00017545
signal 0.00017195
signal 0.00016333
signal 0.00015961
signal 0.00015837
signal 0.00015626
signal 0.00015136
signal 0.00015122
signal 0.00015101
signal 0.00015078
signal 0.00015019
signal 0.00014969
signal 0.00014960
signal 0.00014867
signal 0.00014475
signal 0.00014284
signal 0.00014074
signal 0.00013517
signal 0.00013070
signal 0.00013019
signal 0.00012695
signal 0.00012595
signal 0.00012489
signal 0.00012450
signal 0.00012313
signal 0.00012115
signal 0.00012000
signal 0.00011927
signal 0.00011916
signal 0.00011804
signal 0.00011800
signal 0.00011609
signal 0.00011411
signal 0.00011371
signal 0.00011307
signal 0.00011130
signal 0.00011111
signal 0.00010992
signal 0.00010973
signal 0.00010904
signal 0.00010648
signal 0.00010330
signal 0.00010284
signal 0.00010263
signal 0.00009887
signal 0.00009638
signal 0.00009150
signal 0.00009102
signal 0.00008942
signal 0.00008854
signal 0.00008740
signal 0.00008578
signal 0.00008528
signal 0.00008394
signal 0.00008341
signal 0.00008266
signal 0.00008102
signal 0.00008016
signal 0.00007962
signal 0.00007861
signal 0.00007828
signal 0.00007531
signal 0.00007474
signal 0.00007392
signal 0.00006995
signal 0.00006843
signal 0.00006725
signal 0.00006279
signal 0.00006267
signal 0.00006264
signal 0.00006260
signal 0.00006087
signal 0.00005911
signal 0.00005758
signal 0.00005737
signal 0.00005733
signal 0.00005679
signal 0.00005411
signal 0.00004820
signal 0.00004098
signal 0.00003830
signal 0.00003199
signal 0.00002962
signal 0.00002958
signal 0.00002917
signal 0.00002807
signal 0.00002683
signal 0.00002645
signal 0.00002522
signal 0.00002482
signal 0.00002461
signal 0.00002341
signal 0.00002307
signal 0.00002197
signal 0.00001993
signal 0.00001923
signal 0.00001876
signal 0.00001857
signal 0.00001789
signal 0.00001767
signal 0.00001752
signal 0.00001743
signal 0.00001726
signal 0.00001635
signal 0.00001634
signal 0.00001599
signal 0.00001590
signal 0.00001588
signal 0.00001559
signal 0.00001531
signal 0.00001522
signal 0.00001358
signal 0.00001250
signal 0.00001240
signal 0.00001228
signal 0.00001201
signal 0.00001177
signal 0.00001151
signal 0.00001133
signal 0.00001128
signal 0.00001095
signal 0.00001066
signal 0.00001022
signal 0.00001021
